audio_file|text
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0052.wav|This clip is the clearest version of the argument I've seen.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0150.wav|What they are selling and what they are doing is mass market manipulation.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0057.wav|Your job isn't to wait for perfect conditions.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0042.wav|And that math gets worse every year in the money.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0044.wav|But don't let another four-year cycle go by.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0127.wav|and where you landed on Bitcoin.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0012.wav|goal of nearly every CBDC project.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0075.wav|It was designed to benefit people who already had access to it.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0025.wav|because they understood something most people still don't.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0004.wav|When the establishment changes its position this fast,
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0072.wav|And I think what clicks for most people isn't the price.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0108.wav|When did you first realize that when you were taught about the Fed in school?
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0128.wav|You spend a whole chapter on what inflation does to people in Argentina.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0074.wav|the whole financial infrastructure they grew up believing in.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0006.wav|I want to talk about something that nobody in mainstream media
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0103.wav|Unfortunately, it's more like peer-to-institution.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0120.wav|What signs would you watch for?
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0078.wav|Natalie Brunel has been covering this story closer than anyone.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0079.wav|This is why we build the show around creators like this.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0038.wav|Nobody can revise those numbers after the fact.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0137.wav|Or are we going to go ahead and just make that jump?
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0106.wav|The entire reason is to be your own bank.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0070.wav|The conversion happens fast once it clicks.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0155.wav|It removes the incentive for violence.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0095.wav|And the mainstream press is still not covering it.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0138.wav|Over into a parallel economy that.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0073.wav|It's the realization that the system they trusted
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0066.wav|Your 401k provider probably has Bitcoin ETFs.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0080.wav|Bitcoin is the first monetary system in history that's open to literally anyone with a smartphone and an internet connection.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0069.wav|The conversation happens fast once it clicks.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0013.wav|He's been sounding the alarm longer than anything.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0003.wav|Preston Pitch has been right about this longer than most.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0023.wav|Because it's the only monetary system in history that has no government controls.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0139.wav|Do we really still care about number grow up?
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0029.wav|hiking rates to fight inflation they caused with their own money printer.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0102.wav|Or is it more like peer-to-institution?
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0084.wav|This is the case that doesn't get enough attention.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0109.wav|M2 Money Supply and the S&P 500.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0129.wav|Someone in the comfortable position of the Western world.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0154.wav|The internet's not going down.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0092.wav|Most people heard that and missed the most important sentence.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0098.wav|The irony of that statement coming from a central banker is
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0083.wav|That's the most important financial innovation in a century.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0085.wav|And this one connects directly to what we just heard.
/home/ultron/protocol_pulse/video_pipeline_v3/voices/segments_v2/raw_0160.wav|That's a big deal. That's a real big deal.
